tau,slice,series,n,sq
57,sco,s72,401,40.31007019314161
57,sco,s96,401,40.94700206256709
57,sco,s120,401,43.162551184739065
57,sco,b24x48,401,40.507281516638656
57,sco,b24x72,401,39.27466461095105
57,sco,b24x96,401,39.36158211894136
57,sco,b24x120,401,40.11352283659454
57,sco,b48x72,401,41.35227985742864
57,sco,b48x96,401,41.41958765906459
57,sco,b48x120,401,42.41582169964626
57,sco,b72x96,401,40.246302969303954
57,sco,b72x120,401,41.24262037163273
57,sco,b96x120,401,41.598482082565155
60,sel,s24,664,48.67584821028234
60,sel,s48,664,47.45779938395636
60,sel,s72,664,47.262802198719825
60,sel,s96,664,49.51819990997508
60,sel,s120,664,54.157829606959616
60,sel,b24x48,664,47.81814182725528
60,sel,b24x72,664,47.333388272301164
60,sel,b24x96,664,48.30911582952573
60,sel,b24x120,664,49.53294522595245
60,sel,b48x72,664,46.840454676359556
60,sel,b48x96,664,47.716683972409626
60,sel,b48x120,664,48.90265391076724
60,sel,b72x96,664,47.841929767895714
60,sel,b72x120,664,49.430900970949914
60,sel,b96x120,664,51.0763315998514
60,sco,s24,401,40.27004089796324
60,sco,s48,401,44.859508121557894
60,sco,s72,401,42.128465671803525
60,sco,s96,401,41.89343169149904
60,sco,s120,401,44.157524547660586
60,sco,b24x48,401,42.27202605636109
60,sco,b24x72,401,40.91038944782771
60,sco,b24x96,401,40.65971179419477
60,sco,b24x120,401,41.39795287033683
60,sco,b48x72,401,43.27395091376418
